"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Cuba","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cyprus","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Cyprus","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cyprus","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Cyprus","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cyprus","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cyprus","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Cyprus","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Czech Republic","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Czech Republic","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Czech Republic","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Czech Republic","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Czech Republic","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Czech Republic","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Czech Republic","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Denmark","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Denmark","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Denmark","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Denmark","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Denmark","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Denmark","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Denmark","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Djibouti","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Djibouti","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Djibouti","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Djibouti","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Djibouti","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Djibouti","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Djibouti","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Dominica","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominica","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominica","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominica","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominica","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominica","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominica","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Dominican Republic","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominican Republic","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominican Republic","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominican Republic","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominican Republic","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominican Republic","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Dominican Republic","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ecuador","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ecuador","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ecuador","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ecuador","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ecuador","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ecuador","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ecuador","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Egypt","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Egypt","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Egypt","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Egypt","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Egypt","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Egypt","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Egypt","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"El Salvador","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"El Salvador","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"El Salvador","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"El Salvador","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"El Salvador","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"El Salvador","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"El Salvador","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","0","3"
"Equatorial Guinea","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Equatorial Guinea","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Equatorial Guinea","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Equatorial Guinea","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Equatorial Guinea","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Equatorial Guinea","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Equatorial Guinea","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Eritrea","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Eritrea","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Eritrea","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Eritrea","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Eritrea","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Eritrea","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Eritrea","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Estonia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Estonia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Estonia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Estonia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Estonia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Estonia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Estonia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ethiopia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ethiopia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ethiopia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ethiopia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ethiopia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ethiopia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ethiopia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Federated States of Micronesia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Federated States of Micronesia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Federated States of Micronesia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Federated States of Micronesia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Federated States of Micronesia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Federated States of Micronesia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Federated States of Micronesia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Fiji","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Fiji","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Fiji","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Fiji","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Fiji","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Fiji","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Fiji","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Finland","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Finland","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Finland","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Finland","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Finland","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Finland","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Finland","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"France","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"France","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"France","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"France","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"France","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"France","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"France","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Gabon","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Gabon","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Gabon","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Gabon","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Gabon","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Gabon","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Gabon","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Gambia The","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Gambia The","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Gambia The","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Gambia The","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Gambia The","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Gambia The","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Gambia The","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Georgia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Georgia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Georgia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Georgia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Georgia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Georgia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Georgia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Germany","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Germany","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Germany","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Germany","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Germany","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Germany","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Germany","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ghana","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ghana","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ghana","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ghana","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ghana","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ghana","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ghana","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Greece","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Greece","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Greece","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Greece","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Greece","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Greece","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Greece","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Grenada","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Grenada","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Grenada","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Grenada","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Grenada","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Grenada","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Grenada","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guatemala","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guatemala","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guatemala","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guatemala","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guatemala","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guatemala","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guatemala","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guinea","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guinea","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guinea","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guinea","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Guinea","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guinea","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guinea","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guinea-Bissau","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Guinea-Bissau","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Guinea-Bissau","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Guinea-Bissau","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Guinea-Bissau","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Guinea-Bissau","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Guinea-Bissau","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Guyana","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guyana","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guyana","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guyana","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guyana","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guyana","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Guyana","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Haiti","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Haiti","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Haiti","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Haiti","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Haiti","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Haiti","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Haiti","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Holy See (Vatican)","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","5"
"Holy See (Vatican)","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","5"
"Holy See (Vatican)","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","5"
"Holy See (Vatican)","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","5"
"Holy See (Vatican)","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","5"
"Holy See (Vatican)","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","5"
"Holy See (Vatican)","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","0","5"
"Honduras","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","6"
"Honduras","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","6"
"Honduras","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","6"
"Honduras","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","6"
"Honduras","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","6"
"Honduras","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","6"
"Honduras","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","6"
"Hungary","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Hungary","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Hungary","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Hungary","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Hungary","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Hungary","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Hungary","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Iceland","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Iceland","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Iceland","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Iceland","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Iceland","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Iceland","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Iceland","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"India","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"India","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"India","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"India","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"India","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"India","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"India","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Indonesia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Indonesia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Indonesia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Indonesia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Indonesia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Indonesia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Indonesia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Iran","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Iran","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Iran","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Iran","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Iran","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Iran","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Iran","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Iraq","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Iraq","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Iraq","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Iraq","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Iraq","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Iraq","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Iraq","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Ireland","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ireland","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ireland","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ireland","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ireland","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ireland","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Ireland","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Israel","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Israel","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Israel","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Israel","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Israel","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Israel","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Israel","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Italy","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Italy","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Italy","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Italy","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Italy","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Italy","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Italy","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Jamaica","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Jamaica","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Jamaica","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Jamaica","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Jamaica","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Jamaica","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Jamaica","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Japan","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1","7"
"Japan","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","7"
"Japan","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","7"
"Japan","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1","7"
"Japan","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","7"
"Japan","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","7"
"Japan","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","7"
"Jordan","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Jordan","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Jordan","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Jordan","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Jordan","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Jordan","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Jordan","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Kazakhstan","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Kazakhstan","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Kazakhstan","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Kazakhstan","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Kazakhstan","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Kazakhstan","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Kazakhstan","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Kenya","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Kenya","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Kenya","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Kenya","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","4"
"Kenya","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Kenya","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
"Kenya","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","4"
